id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
54,Elizabeth Avery Allyn,,Betsey Avery; Elizabeth Allen,F,,Montgomery,MA,United States,"August 25, 1803","September 17, 1871",,,,,,"Elizabeth Avery Allyn, daughter of Samuel Avery and Mary Chapman Avery, attended the Litchfield Female Academy in 1821 and 1822. While staying in Litchfield she met a Law School student named Joseph Tyler Allyn whom she married in 1822. After their marriage Elizabeth and Joseph moved to Norfolk, Virginia where they had two children, and Joseph worked as a merchant and bank director.","1820 Litchfield Female Academy Catalog Winter Session (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1821 Litchfield Female Academy Catalog Winter Session (Vanderpoel, Emily Noyes. <I>More Chronicles Of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1821 Litchfield Female Academy Catalog Winter Session (Vanderpoel, Emily Noyes. <I>More Chronicles Of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1822 Litchfield Female Academy Catalogue published in The Litchfield Eagle on November 25, 1822 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).  <br>1822 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles Of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University PRess, 1927).",,,,,,,,,Norfolk/VA/United States,,,,1821-1822,,
55,David Allyn,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Desire Tyler Allyn,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,William J. Alston,,William Jeffreys Alston,M,,Elbert County,GA,United States,"December 31, 1800","June 10, 1876",Studied with Dr. Moses Waddell while in South Carolina.,,,,,"William Jeffreys Alston was the son of Nathaniel Alston and Mary Jeffreys Alston. He began his education with Dr. Moses Waddell in South Carolina before his family moved to Marengo County, Alabama. Alston attended the Litchfield Law School in 1824, and after completing his studies established a law practice in Linden, Alabama. His extensive political career included service in the Alabama State House of Representatives from 1836 to 1837, in 1843, and again from 1855 to 1857. Alston was also a member of the Alabama State Senate from 1839 to 1842, and then a member of the U.S. Congress from 1849 to 1851. Alston married four times. His first marriage was to Martha Cade in 1824, They had seven children together. He then married Harriet Harwell in 1847, with whom he had one son. His third marriage was to a Mrs. Cheney, and his fourth marriage was to a Mrs. Mary Glover Shields Lowery which resulted in two sons. He died on June 10, 1876 in Magnolia, Alabama. ","<I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1848), 20. ",,"Lanman, Charles. <I>Biographical Annals of the Civil Government of the United States During its first century: From Original and Official Sources</I>. Washington, D.C.: James Anglim, 1876;     <I>Biographical Directory of the American Congress, 1774-1971. The Continental Congress (September 5, 1774 to October 21, 1788) and the Congress of the United States (from the first through the ninety-first Congress March 4, 1789 to January 3, 1971)</I>. Washington, D.C.: U.S. Government Printing Office, 1971;     <I>Biographical Directory of the United States Congress, 1774-1989. The Continental Congress, September 5, 1774 to October 21, 1788 and the Congress of the United States from the first through the one hundredth Congresses, March 4, 1789 to January 3, 1989 Bicentennial Edition</I>. Washington, D.C.: U.S. Government Printing Office;     <I>Who Was Who in America</I>. A Component volume of <i>Who's Who in American History</I> Historical Volume, 1607-1896    Groves, M.D., Joseph A. The Alstons & Allstons of North & South Carolina. Atlanta, GA.: The Franklin Printing and Publishing Co., 1901. ","A copy of his speech entitled 'The Slavery Questions' was published. It was delivered to the House of Representatives on April 18, 1850 and published that same year.",,,,Whig,Lawyer;Political Office,Abbeville District/SC/United States;Linden/AL/United States,"Federal/U.S. Representative//AL;State/State Representative//AL;State/State Senator//AL;Local/Judge/of the County Court/Marengo County, AL",Martha Cade Alston/1824;Harriet Harwell Alston/1847;Mary Lowery Alston/;Caroline Cheney Alston/,1824,,,
58,Martha Cade Alston,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Harriet Harwell Alston,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Caroline Cheney Alston,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Mary Lowery Alston,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Nathaniel Alston,,,M,,,,,1775,1852,,,,,,,,,,,,,,,,,,,,,,
63,Mary Jeffreys Alston,,,F,,,,,,1846,,,,,,,,,,,,,,,,,,,,,,
64,William Williams Alston,,,M,,Greenville,SC,United States,"March 27, 1799",1860,,,,,,"William Williams Alston was the son of Judge Lemuel James Alston and Elizabeth Williams Alston. Born in Greenville, South Carolina in 1799, Alston's family moved to Clarke County, Alabama in 1816. Alston attended the Litchfield Law School in 1818. He then married Mary Haywood Burges of North Carolina in 1820. They had eleven children. Alston died of pneumonia while on a visit to Louisiana in 1860. ","Houghton, Josiah. 'LLS Law Notebook 1817-1818. ' Litchfield Law School Collection, Series 1, Subseries 1, Litchfield Historical Society; Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1849), 15.",,"Grove, Jospeh A. The Alstons & Allstons of North & South Carolina. Atlanta, GA.: The Franklin Printing and Publishing Co., 1901; Bailey, Louise N., et al. Biographical Directory of the South Carolina Senate, 1776 - 1985, Vol. I. University of South Carolina Press, 1986.",,,,"'Miss Wait and some of the other young ladies gave us tolerable specimens on the Piano accompanied with their voices,' May, 1818.    Regarding a party for Litchfield Female Academy students and teachers at Sarah Pierce's home. ",,,Clarke County/AL/United States,,"Mary Burges Alston/June 22, 1820",1818,,,
65,Mary Burges Alston,,,F,,,NC,United States,,,,,,,,,,,,,,,,,,,,,,,,
66,Lemuel James Alston,,,M,,,,,1760,1836,,,,,,,,,,,,,,,Political Office,,,,,,,
67,Elizabeth Williams Alston,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mary Door Ames,,,F,,,,,,,,,,,,,,,,,,,,,,,,"Samuel Ames/June 27, 1839",,,,
70,Anne Checkley Ames,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Franklin Anderson,,,M,,Montgomery County,MD,United States,"March 22, 1791",1866,Attended the College of New Jersey (now Princeton University) in 1809.,1815,,,,"Franklin Anderson was the the son of Colonel Richard Anderson and Ann Wallace Anderson. Franklin attended the College of New Jersey (now Princeton University) in 1809 and then began his studies at the Lithfield Law School in 1813. Anderson was admitted to the bar in 1815, and was involved in a notable case in 1819. He served as the prosecutor in the case of Reverend Gruber, who was accused of instigating slaves to commit mutiny and treason. The lawyer who defended the case was Roger Taney, later justice of the U.S. Supreme Court. Anderson lived in Washington County, Maryland for most of his life and married Elizabeth Stirling. He died at the age of fifty-three in 1866. ","Baldwin, Roger Sherman. <I>Notes on law taken from the lectures of the Honble. Tapping Reeve and James Gould, esquire … at the Litchfield Law School, 1812-1813.</I>' Rare Book Collection, Lillian Goldman Law Library, Yale University.    <I>Catalogue of the Litchfield Law School </I>(Hartford, CT: Press of Case, Tiffany and Company, 1849), 11. ",,,,,,,,Lawyer;Agriculture,Washington County/MD/United States,,"Elizabeth Stirling Anderson/November 10, 1831",1813,,,
72,Elizabeth Stirling Anderson,,,F,,Baltimore,MD,United States,,,,,,,,,,,,,,,,,,,,,,,,
73,Richard Anderson,,,M,,,,,,,,,,,,,,,,,,,,,Military,,,,,,,
74,Ann Wallace Anderson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,John Anderson,,,M,,Baltimore,MD,United States,"October 28, 1792","September 10, 1854",,,,,,"John Anderson, son of Thomas Anderson and Ruth Sparks Anderson, was born in Baltimore, Maryland in 1792. In 1815 he studied at the Litchfield Law School and in 1822 he married Sarah, also of Baltimore, Maryland. On September 10, 1854 at the age of 63 John passed away.","<I>Catalogue of the Litchfield Law School</I> (Hartford, CT: Press of Case, Tiffany and Company, 1849), 13.",,,,,,,,,,,Sarah Anderson/1822,1815,,,
76,Sarah Anderson,,,F,,Baltimore,MD,United States,,,,,,,,,,,,,,,,,,,,,,,,
77,Thomas Anderson,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Ruth Sparks Anderson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Eden Andrews,,,M,,Bethel,CT,United States,"April 28, 1761","April 26, 1839",,,,,,"Eden Andrews was the son of John Andrews, Sr. and Mary Sperry Andrews. He married Deborah Benedith Knapp in 1784 and the couple lived in Bethel, Connecticut. Anderson attended the Litchfield Law School in 1797 and served as a town representative in Bethel for three years. He died at the age of seventy-seven in 1839. ","'Moothall Society Record Books.' Litchfield Law School Collection, Series 1, Subseries 3, Litchfield Historical Society. ",,,,,,,,Political Office,Bethel/CT/United States,"Local/Town Representative//Bethel, CT","Deborah Knapp Andrews/May 12, 1784",1797,,,
80,Deborah Knapp Andrews,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"John Andrews, Sr.",,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Mary Sperry Andrews,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Edward Warren Andrews,,,M,,Windham,CT,United States,July 1811,September 1895,"Attended Union College for two years, but did not graduate.",Connecticut in 1834,,,,"Edward Warren Andrews was the son of Reverend William Andrews of Cornwall, Connecticut. Andrews attended Union College before heading to Litchfield, Connecticut in 1831 to study at the Litchfield Law School. After he was admitted to the bar in 1834, he remained in Litchfield, Connecticut to practice law as a partner of Truman Smith. He later studied theology and became a minister in West Hartford, Connecticut in 1837. Andrews later established a school in Cornwall, Connecticut, and in 1851 served as a state representative in the Connecticut House of Representatives. Edward never married, and died in September 1895 in Chicago, Illinois. ",[We are currently working to update and confirm citations of attendance.],,,,,,,,Lawyer;Religious Calling;Political Office;Educator,Litchfield/CT/United States;West Hartford/CT/United States;New York/NY/United States;Troy/NY/United States,State/State Representative//CT,"Mary Le Baron Andrews/October 9, 1834",1831,,,
84,Mary Le Baron Andrews,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,William Andrews,,,M,,,,,,,,,,,,,,,,,,,,,Religious Calling,,,Mary Andrews/,,,,
86,William Stutson Andrews,,,M,,Boston,MA,United States,"October 12, 1793","May 1, 1872","Graduated from Boston Latin School in 1805, studied at Andover in 1807, and received a degree from Harvard College in 1812.",Massachusetts in 1817,"Studied with Francis Blake in Worcester, MA.",,,"William Stutson Andrews was the son of William Andrews and Mary Stutson Andrews. He entered the Boston Latin School at the age of 10, and graduated in 1805. Andrews then attended Andover College in 1807 and earned a degree from Harvard College in 1812. That same year Andrews also studied at the Litchfield Law School. Andrews was admitted to the bar in 1817, and continued to pursue his law career in Spencer, Worcester and Boston, Massachusetts for the remained of his life. On May 1, 1872 William Andrews died in Boston, Massachusetts. ","Baldwin, Roger Sherman. <I>Notes on law taken from the lectures of the Honble. Tapping Reeve and James Gould, esquire … at the Litchfield Law School, 1812-1813</I>.' Rare Book Collection, Lillian Goldman Law Library, Yale University.;     Ledger, <I>Journals of the Bar- Litchfield County</I>. Litchfield Historical Society.    <I>Catalogue of Litchfield Law School </I>(Hartford, Connecticut: Press of Tiffany, Case and Company, 1849), 10.    <I>Litchfield County Bar Association Records</I>, 1812, Litchfield Historical Society, Helga J. Ingraham Memorial Library.",,,"Recorded lectures on civil procedure and criminal law by Reeves and Gould at the law school in Litchfield, Conn., 1812-1813, in three volumes. These are available through the Harvard Law School Library's collection of digitized LLS Student Notebooks.    ",,,,,Lawyer;Editor;Business,Spencer/MA/United States;Worcester/MA/United States;Boston/MA/United States,,,1812,,,
87,Mary Stutson Andrews,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,William Turell Andrews,,,M,,Boston,MA,United States,"December 24, 1794","November 24, 1879",Admitted to Harvard College in 1807 at the age of 13. He received his A.B. from Harvard in 1812 and his A.M. in 1815.,,,,,"William Turell Andrews was the son of Ebenezer Andrews and Hermione Weld. Andrews was only thirteen when he was admitted to Harvard College, and is noted as the youngest student accepted to the institution in the nineteenth century. During his time at Harvard he was reportedly punished for absence from prayers and lectures and fined for being dressed out of uniform. He ultimately received his A.B. from Harvard in 1812 and his A.M. in 1815. He attended the Litchfield Law School in 1812, and proceeded to pursue a law career. After practicing as a lawyer for some years with Thomas Wetmore, Andrews left the practice of law to study the classics. Ultimately, Andrews created one of the largest private libraries in Boston, Massachusetts. He remained actively involved at Harvard College, and served as the treasurer of the College from 1853 to 1857. In addition, Andrews served as a trustee at many charitable institutions such as the Westborough Reform School, the McLean Asylum, the Boston Library, the Boston Atheneum, and the Old Ladies Home. During his lifetime, Andrews was also a Member of the Academy of Arts and Sciences, an Overseer in the House of Corrections, and served both on the Boston School Committee and as an alderman on the Massachusetts State Legislature. Andrews also worked as the director of many companies. From 1853 to 1857 he was the President of City Bank, Boston. At an unknown date he married Fanny Mackay Reynold and they had five children. In 1879, at the age of eighty-four, William Turrell Andrews passed away. ","Baldwin, Roger Sherman. <I>Notes on law taken from the lectures of the Honble. Tapping Reeve and James Gould, esquire … at the Litchfield Law School, 1812-1813.</I> Rare Book Collection, Lillian Goldman Law Library, Yale University.    <I>Journals of the Bar - Litchfield County</I>. Litchfield Historical Society.; Catalogue of Litchfield Law School (Hartford, Connecticut: Press of Tiffany, Case and Company, 1849), 10.    <I>Litchfield County Bar Association Records</I>, 1812, Litchfield Historical Society, Helga J. Ingraham Memorial Library.",William Turrell Andrews.jpg,,,,,,,Lawyer;Business;Political Office,,State/State Representative//MA,Fanny Reynolds Andrews/,1812,,Portrait of William Turell Andrews,
